# Images list - Format: filename|caption
# One image per line
# Leave caption empty if no caption needed
# Example: 01_image.jpg|This is the caption

01-Trost-Doubled-presence-in-a-disembodied-space024.jpg|Exhibition view. Anzhelika Palyvoda, Céline Struger, Sofiia Yesakova
02-Trost-Doubled-presence-in-a-disembodied-space023.jpg|Exhibition view. Anzhelika Palyvoda, Céline Struger, Sofiia Yesakova
03-Trost-Doubled-presence-in-a-disembodied-space005.jpg|Exhibition view. Anzhelika Palyvoda, Céline Struger, Sofiia Yesakova
04-Trost-Doubled-presence-in-a-disembodied-space012.jpg|Sofiia Yesakova. Ugly scenes. Nuances 4.1., 100 × 100 × 5 cm (x2), black wood, linseed oil, beeswax, 2025
04b-Trost-Doubled-presence-in-a-disembodied-space032.jpg|Anzhelika Palyvoda. Trostspender, Dried plants, concrete, plexiglass, cable, led lights, electronics, technical assistance David Ackerl 23 x 15 x 9 cm / d 28 cm, 2025
05-Trost-Doubled-presence-in-a-disembodied-space009.jpg|Exhibition view. Anzhelika Palyvoda, Céline Struger, Sofiia Yesakova
06-Trost-Doubled-presence-in-a-disembodied-space030.jpg|Exhibition view. Anzhelika Palyvoda, Céline Struger, Sofiia Yesakova
07-Trost-Doubled-presence-in-a-disembodied-space037.jpg|Céline Struger. Little Sister (study) wallpiece, ceramics, 37 x 17 x 4 cm, 2025
08-Trost-Doubled-presence-in-a-disembodied-space042.jpg|Exhibition view. Céline Struger & Sofiia Yesakova
09-Trost-Doubled-presence-in-a-disembodied-space216.jpg|Anzhelika Palyvoda. Trostspender, Dried plants, concrete, plexiglass, cable, led lights, electronics, technical assistance David Ackerl 23 x 15 x 9 cm / d 28 cm, 2025
10-Trost-Doubled-presence-in-a-disembodied-space045.jpg|Sofiia Yesakova. Ugly scenes. Nuances 1.2., 190 × 11 × 4 cm, beech wood, gesso, black lacquer, 2025. Close-up
11-Trost-Doubled-presence-in-a-disembodied-space036.jpg|Céline Struger. Coyote knives (black) wallpiece, ceramics, 24 x 14 x 1 cm, 2025
12-Trost-Doubled-presence-in-a-disembodied-space053.jpg|Céline Struger. Let the Right One In, stool, silvered tin, 85 x 52 x 54 cm, 2025
13-Trost-Doubled-presence-in-a-disembodied-space068.jpg|Céline Struger. Céline Struger A Blessing and a Burden (black) ceramics, 26 x 26 x 22 cm 2025. Close-up
14-Trost-Doubled-presence-in-a-disembodied-space144.jpg|Anzhelika Palyvoda. Grape passage, metal profile, speakers, cable, amplifier, mp3 player, sound 13'20'', sound design Chattip Mechamun, 4 x 5 x 70 cm, 2025. Close-up
15-Trost-Doubled-presence-in-a-disembodied-space141.jpg|Sofiia Yesakova. Ugly scenes. Nuances 4.2. black wood, linseed oil, beeswax, 20 x 5 x 5 cm (x2), 2025. Close-up
16-Trost-Doubled-presence-in-a-disembodied-space056.jpg|Sofiia Yesakova. Ugly scenes. Nuances 1.3., 190 × 11 × 4 cm, beech wood, gesso, black lacquer, 2025. Close-up
17-Trost-Doubled-presence-in-a-disembodied-space234.jpg|Céline Struger. Trostblumen / solace flowers steel, water, rust, phosphorescent pigment, 1 x 43 x 40 cm, 1 x 45 x 43 cm, 2025
18-Trost-Doubled-presence-in-a-disembodied-space122.jpg|Anzhelika Palyvoda. Whitness, size varies dried plants, concrete, 2025. Close-up
